year,AUS,QLD,NSW,VIC,SA,WA,TAS,NT
2020-21,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,NA,NA,NA,NA,NA,NA,NA,NA
2018-19,NA,NA,NA,NA,NA,NA,NA,NA
2017-18,7357116,3377561,1622842,1428157,319267,391066,218223,NA
2016-17,6981347,3338100,1502523,1220786,359861,372703,187374,0
2015-16,8188827,3727161,1790265,1600240,435076,407243,228842,0
2014-15,9419955,4297689,2050455,1939802,472438,424201,235370,0
2013-14,8763990,4059467,1890600,1751304,426058,411380,225180,0
2012-13,7811092,3718035,1671643,1411144,416300,391396,202574,0
2011-12,7197452,3435379,1551729,1259438,377791,388654,184461,0
2010-11,7368558,3462371,1605147,1301563,364159,444548,190770,0
2009-10,7460573,3398097,1671897,1389550,366206,447341,187482,0
2008-09,7789200,3430800,1799900,1577600,296800,477800,206300,0
2007-08,7833500,3553200,1763800,1516500,307600,479800,212300,0
2006-07,8161655,3831335,1750009,1567202,341857,448747,217526,4979
2005-06,7580056,3646905,1590295,1381345,324838,434007,197297,5369
2004-05,7985577,3690454,1700426,1515650,359086,510514,204086,5361
2003-04,7752887,3564248,1616116,1556612,342948,462916,204744,5303
2002-03,8082703,3515209,1930518,1650424,359126,429252,192820,5354
2001-02,7624149,3514131,1812574,1431127,332595,368255,159976,5491
2000-01,7940673,3656635,1827925,1523899,316724,415418,184419,15653
1999-00,7520008,3312452,1724782,1523830,314686,393861,217946,32451
1998-99,7939106,3307042,1894500,1751271,277757,438728,211125,58683
1997-98,8051743,3014600,2138600,1798024,372416,448115,216992,62996
1996-97,7270478,2517872,2040246,1675882,368666,406793,202556,58463
1995-96,6949658,2406921,2005234,1523575,374497,399890,184238,55303
1994-95,7219998,2557773,2089402,1467323,424257,430465,207944,42834
1993-94,7290093,2781845,2026178,1393941,400321,438754,187002,62052
1992-93,7442622,2851471,2091130,1365843,408305,452312,189417,84144
1991-92,7649937,2799469,2106286,1587465,395805,423823,198300,138789
1990-91,7348826,2572002,1997469,1613444,386411,440436,191298,147766
